DateHeure,Group1,Lib,Valeur
01/01/2018 12:10:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:12:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:12:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:14:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:16:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:18:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:20:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:20:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:22:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:22:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:24:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:24:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:26:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:26:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:28:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:28:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:30:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:30:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:32:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:32:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:34:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:34:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:36:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:36:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:38:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:38:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:40:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:40:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:42:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:42:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:44:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:44:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:46:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:46:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:48:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:48:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:50:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:50:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:52:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:52:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:54:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:54:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:56:00,Ambiance,CO2 Cours 205, 320
01/01/2018 12:56:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 12:58:00,Ambiance,CO2 Cours 205, 340
01/01/2018 12:58:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:00:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:00:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:02:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:02:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:04:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:04:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:06:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:06:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:08:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:08:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:10:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 13:12:00,Ambiance,CO2 Cours 205, 340
01/01/2018 13:12:00,Ambiance,Temp Cours 205," 20,5"
